run_id,algorithm,mean_reward,std_reward,learning_rate,n_steps,gamma,gae_lambda
0,A2C,133.5,88.03550420143,0.0007,5,0.99,0.95
1,A2C,206.0,90.52071586106685,0.0003,10,0.95,0.9
2,A2C,163.0,76.36098480245,0.001,8,0.98,0.92
3,A2C,189.0,85.4049178911847,0.0005,12,0.97,0.88
4,A2C,41.5,145.13872674100458,0.002,4,0.96,0.85
5,A2C,226.5,53.66796064692602,0.0008,6,0.94,0.91
6,A2C,190.0,41.71330722922842,0.0004,15,0.99,0.93
7,A2C,195.0,117.32433677630571,0.0006,7,0.93,0.87
8,A2C,209.5,76.72841716078861,0.0009,9,0.95,0.89
9,A2C,129.0,75.25955088890711,0.0001,20,0.98,0.94
